Group,Handle,Product (from handle),Cost ex GST (fill),Sell price (fill),Image? (y/n),Notes
Red — Pinot Noir,by-farr-sangreal,By Farr Sangreal,,,n,
Red — Pinot Noir,curly-flat-pinot-noir,Curly Flat Pinot Noir,,,n,
Red — Pinot Noir,giant-steps-applejack-vineyard-pinot-noir,Giant Steps Applejack Vineyard Pinot Noir,,,n,
Red — Pinot Noir,mount-mary-pinot-noir,Mount Mary Pinot Noir,,,n,
Red — Pinot Noir,paringa-estate-the-paringa-pinot-noir,Paringa Estate The Paringa Pinot Noir,,,n,
Red — Pinot Noir,tolpuddle-vineyard-pinot-noir,Tolpuddle Vineyard Pinot Noir,,,n,
Red — Pinot Noir,yabby-lake-single-block-pinot-noir,Yabby Lake Single Block Pinot Noir,,,n,
Red — Shiraz,penfolds-grange,Penfolds Grange,,,n,
Red — Shiraz,penfolds-st-henri-shiraz,Penfolds St Henri Shiraz,,,n,
Red — Shiraz,torbreck-les-amis,Torbreck Les Amis,,,n,
Red — Shiraz,wynns-coonawarra-estate-michael-shiraz,Wynns Coonawarra Estate Michael Shiraz,,,n,
Red — Cabernet & Bordeaux blends,chateau-cantemerle-haut-medoc,Chateau Cantemerle Haut Medoc,,,n,
Red — Cabernet & Bordeaux blends,katnook-estate-merlot,Katnook Estate Merlot,,,n,
Red — Cabernet & Bordeaux blends,coriole-merlot,Coriole Merlot,,,n,
Red — Cabernet & Bordeaux blends,moss-wood-cabernet-sauvignon,Moss Wood Cabernet Sauvignon,,,n,
Red — Cabernet & Bordeaux blends,parker-coonawarra-estate-first-growth,Parker Coonawarra Estate First Growth,,,n,
Red — Cabernet & Bordeaux blends,penfolds-bin-407-cabernet-sauvignon,Penfolds Bin 407 Cabernet Sauvignon,,,n,
Red — Cabernet & Bordeaux blends,penfolds-bin-707-cabernet-sauvignon,Penfolds Bin 707 Cabernet Sauvignon,,,n,
Red — Cabernet & Bordeaux blends,vasse-felix-tom-cullity,Vasse Felix Tom Cullity,,,n,
Red — Cabernet & Bordeaux blends,wynns-coonawarra-estate-john-riddoch-cabernet-sauvignon,Wynns Coonawarra Estate John Riddoch Cabernet Sauvignon,,,n,
Red — Cabernet & Bordeaux blends,yalumba-the-scribbler,Yalumba The Scribbler,,,n,
Red — Grenache & Rhône,bekkers-grenache,Bekkers Grenache,,,n,
Red — Grenache & Rhône,chateau-de-beaucastel-chateauneuf-du-pape,Chateau De Beaucastel Chateauneuf Du Pape,,,n,
Red — Grenache & Rhône,cirillo-1850-ancestor-vine-grenache,Cirillo 1850 Ancestor Vine Grenache,,,n,
Red — Grenache & Rhône,d-arenberg-the-derelict-vineyard-grenache,D Arenberg The Derelict Vineyard Grenache,,,n,
Red — Grenache & Rhône,ochota-barrels-fugazi-vineyard-grenache,Ochota Barrels Fugazi Vineyard Grenache,,,n,
Red — Grenache & Rhône,s-c-pannell-smart-vineyard-grenache,S C Pannell Smart Vineyard Grenache,,,n,
Red — Grenache & Rhône,turkey-flat-grenache,Turkey Flat Grenache,,,n,
Red — Grenache & Rhône,vieux-telegraphe-la-crau,Vieux Telegraphe La Crau,,,n,
Red — Grenache & Rhône,yangarra-estate-high-sands-grenache,Yangarra Estate High Sands Grenache,,,n,
Fortified,all-saints-estate-museum-muscat,All Saints Estate Museum Muscat,,,n,
Fortified,campbells-merchant-prince-rare-muscat,Campbells Merchant Prince Rare Muscat,,,n,
Fortified,chambers-rosewood-rare-muscat,Chambers Rosewood Rare Muscat,,,n,
Fortified,seppeltsfield-100-year-old-para-vintage-tawny,Seppeltsfield 100 Year Old Para Vintage Tawny,,,n,
Fortified,seppeltsfield-para-21-year-old-tawny,Seppeltsfield Para 21 Year Old Tawny,,,n,
Fortified,stanton-and-killeen-rare-muscat,Stanton And Killeen Rare Muscat,,,n,
